Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Industrials,AQ,AQ,,80,1220151.74,938599.69,Northrop Grumman,,C,1261649.69,Tr EC TSP,323050
Health Care,AQ,AQ,,94,1353000,926328,Novartis,,A,1513597,PGS Wa Tr,587269
Health Care,AQ,AQ,,89,272700,131900,Novo Nordisk,,B,179462,TI Wa Tr EC TSP Ld Oth,47562
Consumer Discretionary,AQ,AQ,,93,91000000,3287942,Panasonic,,B,4135797,PGS,847855
Consumer Staples,AQ,AQ,,90,112000,2042065,PepsiCo,,A-,6048225,Fr Oth,4006160
Energy,AQ,AQ,,81,504059819,1256221.84,PETROBRAS,,C,61213363,USP,59957141
Health Care,AQ,AQ,,81,9781207,1247985,Pfizer,,B,2707928,PGS Eq Fu TI Wa Tr EC Lu SE,1459943
Utilities,AQ,AQ,,92,48753850,997983,PG&E,,B,4216239,Fu Wa Tr USP,3218256
Consumer Staples,AQ,AQ,,83,627767,412984,Philip Morris International,,B,768773,TI Tr,355789
Consumer Discretionary,AQ,AQ,,99,911092,470216,Philips Electronics,,A,896987,TI Tr,426771
Financials,AQ,AQ,,75,107453,324951,PNC Financial Services,,B,369651,PGS Fu Tr EC,44700
Materials,AQ,AQ,,89,997720,2974000,POSCO,,A-,71679000,TI Tr EC,68705000
Consumer Discretionary,AQ,NR,,64,231826,155180,PPR,,C,197792,TI Tr,42612
Materials,AQ,AQ,,93,582025,10700000,Praxair,,A-,15050000,Eq TI Wa Tr,4350000
Financials,AQ,AQ,,58,5029,93260,Prudential,,E,108099,Tr,14839
Financials,AQ,AQ,,41,12422,78534,Prudential Financial,,-,84370,Tr,5836
Energy,AQ,AQ,,69,4790.21,1454.81,PTT Exploration & Production,,D,3732909.9,TI,3731455.09
Utilities,AQ,AQ,,79,66428619,1250417,Public Service Enterprise Group,,C,24123436,PGS Fi TI Tr EC Lu USP,22873019
Financials,AQ,AQ,,47,14034,36143,QBE Insurance Group,,-,37411,Tr,1268
Consumer Staples,AQ,AQ,,81,25928065,185774,Reckitt Benckiser,,B,290587,PGS TI Wa Tr TSP USP DSP Ld Oth,104813
Energy,AQ,AQ,,89,150295524,2058465,Repsol YPF,,B,25438767,Fu TI Tr TSP USP,23380302
Materials,AQ,AQ,,86,492000000,17000000,Rio Tinto,,B,44600000,PGS Fu TI USP,27600000
Health Care,AQ,NR,,66,171261,411985,Roche Holding,,C,865995,Tr,454010
Consumer Discretionary,AQ,AQ,,60,61384,133288,Rogers Communications,,D,172149,Wa Tr EC Oth,38861
Industrials,AQ,AQ,,75,175056020,360114,Rolls-Royce,,B,592123,TI Tr USP,232009
Financials,AQ,AQ,,71,145705,169340,Royal Bank of Canada,,D,202476,TI Tr,33136
Financials,AQ,AQ,,91,143404,624034.05,Royal Bank of Scotland Group,,B,708324.75,Fu Tr,84290.7
Energy,AQ,AQ,,90,690000,10000000,Royal Dutch Shell,,A-,85000000,Fr Oth,75000000
Utilities,AQ,AQ,,85,137.98,3100000,RWE,,B,170200000,Fu TI USP,167100000
Consumer Staples,AQ,AQ,,63,261307,1208966.66,SABMiller,,C,2353867.55,TI,1144900.89
Industrials,AQ,AQ,,94,132200,4900000,Saint-Gobain,,A-,18700000,Tr,13800000
Information Technology,AQ,AQ,,94,45706000,5876000,Samsung Electronics,,A,9910000,TI Tr USP SE,4034000
Information Technology,AQ,AQ,,96,35796,125030,SAP,,A,261033,EC TSP Oth,136003
Energy,AQ,AQ,,79,576937,10815000,Sasol,,C,74981000,TI Tr,64166000
Energy,AQ,AQ,,80,1563500,330000,Schlumberger,,B,1940000,PGS TI Tr Oth,1610000
Industrials,AQ,AQ,,91,577352,334800,Schneider Electric,,A,472300,PGS TI Tr,137500
Consumer Staples,AQ,AQ,,71,213898,2598678.96,Seven & I Holding,,C,2615712.94,TI Wa,17033.98
Industrials,AQ,AQ,,97,14203460,1841298,Siemens,,A-,3228718,PGS TI Tr,1387420
Financials,AQ,AQ,,96,11522,582837,Simon Property Group,,A-,606269,Tr EC,23432
Financials,AQ,AQ,,66,76177,173443,Societe Generale,,D,201558,PGS Tr,28115
Information Technology,AQ,AQ,,94,22381000,1283543,Sony Corporation,,A,1644726,TI Tr USP,361183
