Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Consumer Discretionary,AQ,AQ,,82,14300,698160,TJX Companies,,C,762410,Tr,64250
Financials,AQ,AQ,,79,4379,52016,Tokio Marine Holdings,,B,69145,Tr,17129
Financials,AQ,AQ,,60,38561,153716,Toronto-Dominion Bank,,C,196180,Tr Ld,42464
Information Technology,AQ,AQ,,68,59079,1943773,Toshiba,,C,2513970,TI,570197
Energy,AQ,AQ,,81,633600000,5400000,Total,,B,57000000,TSP USP,51600000
Consumer Discretionary,AQ,AQ,,73,334145,4265000,Toyota Motor,,D,7057000,TI Tr,2792000
Energy,AQ,AQ,,71,94699,6664,Transocean,,C,1768402,Tr Oth,1761738
Financials,AQ,AQ,,70,24256,370934,U.S. BanCorp,,C,411379,Tr,40445
Financials,AQ,AQ,,91,89957,248893,UBS,,A,276046,PGS Wa Tr,27153
Financials,AQ,AQ,,75,1374,95536,Unibail-Rodamco,,C,117902,Tr,22366
Financials,AQ,AQ,,70,24836,369450,Unicredit Group,,D,469550,Wa Tr Oth,100100
Industrials,AQ,AQ,,58,66336,968302,United Technologies,,D,1914377,Tr,946075
Industrials,AQ,AQ,,99,9864729,917695,UPS,,A-,12630498,Fu Tr EC TSP Fr,11712803
Materials,AQ,AQ,,93,91212923,1282372.68,VALE,,B,19993423,PGS TI Tr EC TSP PSP USP,18711050.35
Industrials,AQ,AQ,,75,12862206,178500,Vinci,,B,2150000,USP,1971500
Consumer Discretionary,AQ,AQ,,51,28430,274593,Vivendi Universal,,E,296901,Tr,22308
,AQ,AQ,,81,2295731,1911342,Vodafone Group,,B,2325463,Tr In,414121
Consumer Discretionary,AQ,AQ,,91,23456849,6307489,Volkswagen,,B,7594928,PGS TI TSP USP,1287439
Consumer Staples,AQ,AQ(SA),,51,147433,545671,Wal-Mart de Mexico,,D,1023120,TI Tr,477449
Consumer Staples,AQ,AQ,,85,42841,15482048,Wal-Mart Stores,,B,21365864,TI Tr,5883816
Health Care,AQ,AQ,,66,84493,152720,WellPoint,,D,159871,Tr EC,7151
Financials,AQ,AQ,,81,124316,1485930,Wells Fargo & Company,,A-,1602788,Tr,116858
Financials,AQ,AQ,,66,660642,2807135,Wesfarmers,,B,5510532,Fu Wa Tr,2703397
Financials,AQ,AQ,,74,175940,482582,Westfield Group,,C,513557,PGS Fu Wa Tr EC,30975
Financials,AQ,AQ,,96,70646,190592,Westpac Banking,,A,200165,Fu Wa Tr,9573
Consumer Staples,AQ,AQ,,80,724600,2515808,Woolworths,,B,3005155,TI Wa,489347
